canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
OB(O)c1cccc(Cn2cc(-c3ccccn3)nn2)c1,CHEMBL4129498,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1cccc(Cn2cc(-c3ccsc3)nn2)c1,CHEMBL4126203,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1cccc(Cn2cc(-c3cccs3)nn2)c1,CHEMBL4128268,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
COc1ccc(-c2cn(Cc3ccc(B(O)O)cc3)nn2)cc1,CHEMBL4127033,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1ccc(Cn2cc(-c3ccccc3)nn2)cc1,CHEMBL4128411,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1ccc(Cn2cc(-c3cccnc3)nn2)cc1,CHEMBL4125799,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1ccc(Cn2cc(-c3ccccn3)nn2)cc1,CHEMBL4127175,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1ccc(Cn2cc(-c3ccsc3)nn2)cc1,CHEMBL4129250,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1ccc(Cn2cc(-c3cccs3)nn2)cc1,CHEMBL4125936,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
[N-]=[N+]=NCc1cccc(B(O)O)c1,CHEMBL4127755,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
[N-]=[N+]=NCc1ccc(B(O)O)cc1,CHEMBL4128815,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
O=[N+]([O-])c1cccc(B(O)O)c1,CHEMBL20945,MIC,ug.mL-1,32.0,CHEMBL1667695,MIC,ug ml-1,32.0
OB(O)c1cccc(Cn2cc(Cc3ccccc3)nn2)c1,CHEMBL4129642,MIC,,,CHEMBL1667695,MIC,,
O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CC1,CHEMBL2005280,MIC,ug.mL-1,1.0,CHEMBL1667695,MIC,ug ml-1,1.0
S=C([S-])N1CCN(C(=S)[S-])CCN(C(=S)[S-])CC1.[Na+].[Na+].[Na+],CHEMBL4212352,MIC,ug.mL-1,2.0,CHEMBL1667695,MIC,ug ml-1,2.0
S=C([S-])N1CCCCC1.[Na+],CHEMBL3961220,FC,,320.0,CHEMBL1667695,FC,,320.0
S=C([S-])N1CCCC1.[Na+],CHEMBL2021946,FC,,320.0,CHEMBL1667695,FC,,320.0
